MiniDOT Logger Concatenated Data File,,,,,,,
Sensor:             7450-540235,,,,,,,
Concatenation Date: 2023Jun13 11:05:23 GMT-08:00,,,,,,,
,,,,,,,
DO concentration compensated for salinity: 0.0 (ppt),,,,,,,
Saturation computed at elevation: 0.0 (meter),,,,,,,
,,,,,,,
            Unix Timestamp,               UTC_Date_&_Time,                     GMT-08:00,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
1680053880,           2023-03-29 01:38:00,           2023-03-28 17:38:00,3.47,13.11,10.342,98.394073,0.929
1680054180,           2023-03-29 01:43:00,           2023-03-28 17:43:00,3.47,13.119,10.357,98.556565,0.929
1680054480,           2023-03-29 01:48:00,           2023-03-28 17:48:00,3.47,13.119,10.353,98.518501,0.929
1680054780,           2023-03-29 01:53:00,           2023-03-28 17:53:00,3.47,13.101,10.357,98.517002,0.929
1680055080,           2023-03-29 01:58:00,           2023-03-28 17:58:00,3.47,13.127,10.34,98.41235,0.928
1680055380,           2023-03-29 02:03:00,           2023-03-28 18:03:00,3.47,13.119,10.358,98.566081,0.929
1680055680,           2023-03-29 02:08:00,           2023-03-28 18:08:00,3.47,13.084,10.361,98.517674,0.929
1680055980,           2023-03-29 02:13:00,           2023-03-28 18:13:00,3.47,13.119,10.338,98.375762,0.928
1680056280,           2023-03-29 02:18:00,           2023-03-28 18:18:00,3.47,13.084,10.36,98.508166,0.929
1680056580,           2023-03-29 02:23:00,           2023-03-28 18:23:00,3.47,13.084,10.361,98.517674,0.929
1680056880,           2023-03-29 02:28:00,           2023-03-28 18:28:00,3.47,13.084,10.363,98.536691,0.929
1680057180,           2023-03-29 02:33:00,           2023-03-28 18:33:00,3.47,13.075,10.361,98.497888,0.929
1680057480,           2023-03-29 02:38:00,           2023-03-28 18:38:00,3.47,13.092,10.359,98.516242,0.929
1680057780,           2023-03-29 02:43:00,           2023-03-28 18:43:00,3.47,13.066,10.364,98.506617,0.929
1680058080,           2023-03-29 02:48:00,           2023-03-28 18:48:00,3.47,13.075,10.35,98.393315,0.929
1680058380,           2023-03-29 02:53:00,           2023-03-28 18:53:00,3.47,13.048,10.361,98.438534,0.929
1680058680,           2023-03-29 02:58:00,           2023-03-28 18:58:00,3.47,13.04,10.37,98.506442,0.929
1680058980,           2023-03-29 03:03:00,           2023-03-28 19:03:00,3.47,13.057,10.36,98.448815,0.929
1680059280,           2023-03-29 03:08:00,           2023-03-28 19:08:00,3.47,13.013,10.368,98.42806,0.929
1680059580,           2023-03-29 03:13:00,           2023-03-28 19:13:00,3.47,13.031,10.357,98.363179,0.929
1680059880,           2023-03-29 03:18:00,           2023-03-28 19:18:00,3.47,13.013,10.378,98.522995,0.929
1680060180,           2023-03-29 03:23:00,           2023-03-28 19:23:00,3.47,13.005,10.375,98.476909,0.929
1680060480,           2023-03-29 03:28:00,           2023-03-28 19:28:00,3.47,12.987,10.373,98.418323,0.929
1680060780,           2023-03-29 03:33:00,           2023-03-28 19:33:00,3.47,12.978,10.376,98.426981,0.929
1680061080,           2023-03-29 03:38:00,           2023-03-28 19:38:00,3.47,12.978,10.386,98.521841,0.929
1680061380,           2023-03-29 03:43:00,           2023-03-28 19:43:00,3.47,12.978,10.381,98.474411,0.929
1680061680,           2023-03-29 03:48:00,           2023-03-28 19:48:00,3.47,12.978,10.382,98.483897,0.929
1680061980,           2023-03-29 03:53:00,           2023-03-28 19:53:00,3.47,12.952,10.38,98.407692,0.929
1680062280,           2023-03-29 03:58:00,           2023-03-28 19:58:00,3.47,12.952,10.401,98.606782,0.93
1680062580,           2023-03-29 04:03:00,           2023-03-28 20:03:00,3.47,12.961,10.382,98.446467,0.929
1680062880,           2023-03-29 04:08:00,           2023-03-28 20:08:00,3.47,12.961,10.393,98.550774,0.929
1680063180,           2023-03-29 04:13:00,           2023-03-28 20:13:00,3.47,12.934,10.397,98.529176,0.929
1680063480,           2023-03-29 04:18:00,           2023-03-28 20:18:00,3.47,12.917,10.405,98.567485,0.929
1680063780,           2023-03-29 04:23:00,           2023-03-28 20:23:00,3.47,12.917,10.413,98.64327,0.93
1680064080,           2023-03-29 04:28:00,           2023-03-28 20:28:00,3.47,12.934,10.402,98.57656,0.929
1680064380,           2023-03-29 04:33:00,           2023-03-28 20:33:00,3.47,12.925,10.402,98.55671,0.929
1680064680,           2023-03-29 04:38:00,           2023-03-28 20:38:00,3.47,12.925,10.407,98.604084,0.929
1680064980,           2023-03-29 04:43:00,           2023-03-28 20:43:00,3.47,12.917,10.405,98.567485,0.929
1680065280,           2023-03-29 04:48:00,           2023-03-28 20:48:00,3.47,12.934,10.389,98.453363,0.929
1680065580,           2023-03-29 04:53:00,           2023-03-28 20:53:00,3.47,12.917,10.397,98.4917,0.929
1680065880,           2023-03-29 04:58:00,           2023-03-28 20:58:00,3.47,12.917,10.397,98.4917,0.929
