DOPLogNumber,Project,Year,Month,SerialNumber,Date,Station,Region,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,BottomTemperature,BottomConductivity,BottomPPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberofPrey,TotalPreyWeight,Gut Fullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diacyclops spp,Diaphanosoma spp,Diaptomus copepodid,Diaptomus spp,Eucyclops spp,Eurytemora copepodid,Eurytemora nauplii,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Osphranticum,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Prickly Sculpin,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tortanus spp,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cumacean,Unid cyclopoid,Unid fish,Unid mysids
47,EDSM,2017,10,47,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,0.78,y,54,3.82E-03,54,2.23E-03,0.28,2,2,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
48,EDSM,2017,10,48,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,0.98,y,56,,4,1.13E-04,0.01,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,EDSM,2017,10,49,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,1.19,y,57,,39,4.05E-03,0.33,2,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50,EDSM,2017,10,50,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,0.73,y,54,,47,2.83E-03,0.38,3,3,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
51,EDSM,2017,10,51,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,0.97,Y,61,,30,6.01E-03,0.61,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
52,EDSM,2017,10,52,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,1.41,y,65,0.01,43,0.01,1.03,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
53,EDSM,2017,10,53,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,1.16,y,60,,23,3.96E-03,0.33,3,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,EDSM,2017,10,54,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,0.57,y,49,,13,1.24E-03,0.21,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,EDSM,2017,10,55,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,1.39,y,60,,19,5.00E-03,0.35,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,EDSM,2017,10,56,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,0.91,y,54,,31,2.63E-03,0.28,3,2,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
57,EDSM,2017,10,57,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,1.68,y,65,,56,2.33E-03,0.13,3,3,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
58,EDSM,2017,10,58,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:39:00,,16.79,137,0.05,,,,51.99,36.09,1.11,y,56,,56,0.01,1.06,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,EDSM,2017,10,59,10/10/2017 0:00,18-11-LSR02,Lower Sacramento,delta smelt,12/30/1899 9:27:00,,,,,,,,,,1.64,y,59,,27,8.38E-03,0.5,4,2,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,EDSM,2017,10,60,10/10/2017 0:00,18-11-LSR02,Lower Sacramento,delta smelt,12/30/1899 9:51:00,,17.5,860,0.4,,,,47.99,24,0.8,y,50,1.73E-03,18,1.13E-03,0.13,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,EDSM,2017,8,151,8/10/2017 0:00,18-02-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 10:42:00,,22.39,8404,4.65,,,,40,47.09,1.5,Y,62,,40,1.57E-03,0.1,2,2,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,EDSM,2017,8,152,8/11/2017 0:00,18-02-SBM04,Suisun Bay/Marsh,delta smelt,12/30/1899 10:13:00,,22.2,6152,3.32,,,,46.99,48.29,0.43,y,42,,1315,7.89E-03,1.81,4,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,EDSM,2017,8,153,8/11/2017 0:00,18-02-SBM04,Suisun Bay/Marsh,delta smelt,12/30/1899 10:13:00,,22.2,6152,3.32,,,,46.99,48.29,1.76,y,62,1.27E-03,4,1.91E-04,0.01,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,EDSM,2017,8,154,8/16/2017 0:00,18-03-SM02,Suisun Bay/Marsh,delta smelt,12/30/1899 8:48:00,,19.79,8679,4.81,,,,31.99,55.29,0.71,y,52,,827,4.72E-03,0.65,3,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,EDSM,2017,8,155,8/16/2017 0:00,18-03-SM02,Suisun Bay/Marsh,delta smelt,12/30/1899 8:48:00,,19.79,8679,4.81,,,,31.99,55.29,0.61,y,46,,389,2.53E-03,0.41,3,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
66,EDSM,2017,8,156,8/16/2017 0:00,18-03-SM02,Suisun Bay/Marsh,delta smelt,12/30/1899 9:01:00,,20.29,9358,5.22,,,,31,83.59,0.78,y,54,,557,3.03E-03,0.38,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,EDSM,2017,8,157,8/16/2017 0:00,18-03-HB01,Suisun Bay/Marsh,delta smelt,12/30/1899 12:08:00,,21.5,3235,1.66,,,,63.99,20.2,1.1,y,51,,140,8.79E-03,0.79,3,3,0,0,76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
68,EDSM,2017,8,158,8/22/2017 0:00,18-04-SBM05,Suisun Bay/Marsh,delta smelt,12/30/1899 9:05:00,,20,10399,5.85,,,,25.99,63.29,0.65,y,45,,749,4.75E-03,0.72,3,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0
69,EDSM,2017,8,159,8/22/2017 0:00,18-04-SBM05,Suisun Bay/Marsh,delta smelt,12/30/1899 9:05:00,,20,10399,5.85,,,,25.99,63.29,1.07,y,52,0.01,8,6.67E-04,0.06,1,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,EDSM,2017,8,160,8/22/2017 0:00,18-04-SBM05,Suisun Bay/Marsh,delta smelt,12/30/1899 9:05:00,,20,10399,5.85,,,,25.99,63.29,0.84,y,49,,841,5.99E-03,0.7,3,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,3,796,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
71,EDSM,2017,8,161,8/22/2017 0:00,18-04-SBM05,Suisun Bay/Marsh,delta smelt,12/30/1899 9:05:00,,20,10399,5.85,,,,25.99,63.29,1.33,y,55,,282,2.11E-03,0.15,3,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0
72,EDSM,2017,8,162,8/22/2017 0:00,18-04-SBM05,Suisun Bay/Marsh,delta smelt,12/30/1899 9:49:00,,20.29,9050,5.04,,,,25,80.8,1.28,y,60,,14,2.29E-03,0.17,1,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,EDSM,2017,8,163,8/22/2017 0:00,18-04-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 10:35:00,,20.5,9066,5.05,,,,30,95.4,0.77,y,45,6.47E-03,1259,0.01,1.49,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,972,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,279,0,0
74,EDSM,2017,8,164,8/23/2017 0:00,18-04-LSJ03,Lower San Joaquin,delta smelt,12/30/1899 10:05:00,,21.1,1453,0.7,,,,25.99,30,0.72,y,46,,5,2.04E-04,0.02,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,EDSM,2017,8,165,8/30/2017 0:00,18-05-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 8:23:00,,21.89,3676,1.91,,,,40.99,24.5,1.22,y,51,3.10E-03,18,8.19E-04,0.06,1,2,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,EDSM,2017,9,166,9/7/2017 0:00,18-06-SBM01,Suisun Bay/Marsh,delta smelt,12/30/1899 8:57:00,,22.5,7776,4.28,,,,43,37.09,0.67,y,48,,2,2.69E-05,3.97E-03,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,EDSM,2017,9,167,9/7/2017 0:00,18-06-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 11:01:00,,22.79,8813,4.89,,,,28.99,85.19,0.62,y,48,,226,1.72E-03,0.27,2,2,0,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0
78,EDSM,2017,9,168,9/11/2017 0:00,18-07-SBM01,Suisun Bay/Marsh,delta smelt,12/30/1899 8:34:00,,22.2,12416,7.09,,,,49,28.1,0.98,y,58,,1,7.53E-05,7.63E-03,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,EDSM,2017,9,169,9/11/2017 0:00,18-07-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 9:35:00,,22.29,11854,6.74,,,,43.99,27.79,0.89,y,50,,1409,9.87E-03,1.1,4,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0
80,EDSM,2017,9,170,9/12/2017 0:00,18-07-HB01,Suisun Bay/Marsh,delta smelt,12/30/1899 8:32:00,,22.79,4489,2.37,,,,63.99,28.79,0.82,y,48,,8,1.23E-04,0.01,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,EDSM,2017,9,171,9/12/2017 0:00,18-07-SBM03,Suisun Bay/Marsh,delta smelt,12/30/1899 9:06:00,,22.29,9199,5.13,,,,46,36.29,0.91,y,51,,283,2.51E-03,0.27,2,2,0,8,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0
82,EDSM,2017,9,172,9/20/2017 0:00,18-08-SM01,Suisun Bay/Marsh,delta smelt,12/30/1899 11:58:00,,20.7,7268,3.98,,,,31.99,66.5,1.16,y,60,,1216,9.73E-03,0.83,4,3,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1016,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0
83,EDSM,2017,9,173,9/20/2017 0:00,18-08-SBM01,Suisun Bay/Marsh,delta smelt,12/30/1899 13:32:00,,20.1,7555,4.15,,,,31.99,79.5,0.68,y,48,,10,8.02E-04,0.11,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,EDSM,2017,9,174,9/27/2017 0:00,18-09-SBM01,Suisun Bay/Marsh,delta smelt,12/30/1899 9:17:00,,19.7,5271,2.81,,,,50,31.79,1.64,y,61,,6,3.02E-04,0.01,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,EDSM,2017,9,175,9/29/2017 0:00,18-09-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 9:22:00,,19.7,4890,2.59,,,,81.99,13.1,1.1,y,58,7.95E-03,434,5.10E-03,0.46,3,3,0,0,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,60,0,0
86,EDSM,2017,10,176,10/10/2017 0:00,18-11-SM01,Suisun Bay/Marsh,delta smelt,12/30/1899 9:47:00,,17.79,6903,3.76,,,,28.99,44.9,0.81,y,52,,87,2.40E-03,0.29,3,3,8,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,28,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,EDSM,2017,10,177,10/17/2017 0:00,18-12-SM01,Suisun Bay/Marsh,delta smelt,12/30/1899 10:13:00,6.55,17,8184,4.52,,,,34.99,56.29,0.41,y,47,4.38E-03,260,4.05E-03,0.98,4,3,0,0,0,0,0,16,0,0,0,7,0,0,0,189,0,0,0,0,0,0,6,0,10,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
88,EDSM,2017,10,61,10/23/2017 0:00,18-13-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:21:00,6.6,16.2,868,0.4,,,,41.99,23.7,1.05,y,53,,1,1.37E-05,1.30E-03,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,EDSM,2017,11,62,11/8/2017 0:00,18-15-LSR02,Lower Sacramento,delta smelt,12/30/1899 9:51:00,8.9,15.6,1664,0.81,,,,68.99,17.6,0.59,y,44,,68,1.70E-03,0.28,2,2,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
90,EDSM,2017,11,63,11/20/2017 0:00,18-17-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:59:00,,14.5,1433,0.69,,,,63.99,39,0.82,y,49,,43,9.46E-04,0.11,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,EDSM,2017,10,178,10/25/2017 0:00,18-13-HB01,Suisun Bay/Marsh,delta smelt,12/30/1899 8:18:00,11.21,16.89,4064,2.13,,,,56.99,23.1,0.79,y,52,3.55E-03,4,8.76E-05,0.01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,EDSM,2017,10,179,10/30/2017 0:00,18-14-SM01,Suisun Bay/Marsh,delta smelt,12/30/1899 10:42:00,,17.79,7524,4.13,,,,44.99,33.09,0.97,y,56,,518,9.49E-03,0.97,4,2,37,0,0,0,0,0,0,0,0,2,0,0,1,334,0,0,0,0,0,0,65,0,28,0,5,1,0,1,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,EDSM,2017,11,180,11/27/2017 0:00,18-18-SM01,Suisun Bay/Marsh,delta smelt,12/30/1899 9:34:00,8.1,14.39,8434,4.67,,,,31.99,38.29,1.33,y,57,,265,5.84E-03,0.43,3,2,67,0,0,0,0,1,0,0,0,0,0,0,0,166,2,0,0,0,0,0,2,0,18,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
94,EDSM,2017,11,181,11/27/2017 0:00,18-18-SM01,Suisun Bay/Marsh,delta smelt,12/30/1899 9:53:00,,,,,,,,,,2.54,y,70,,234,5.04E-03,0.19,3,2,46,1,0,0,0,1,0,0,0,0,0,0,0,152,1,0,0,0,0,0,4,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
95,EDSM,2017,11,182,11/28/2017 0:00,18-18-SBM02,Suisun Bay/Marsh,delta smelt,12/30/1899 8:32:00,5.6,14,10196,5.73,,,,63.99,16.89,0.99,y,57,,109,4.54E-03,0.45,4,3,22,0,0,0,0,0,0,0,0,0,0,0,1,24,47,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,EDSM,2017,11,183,11/28/2017 0:00,18-18-HB01,Suisun Bay/Marsh,delta smelt,12/30/1899 9:29:00,18.7,14.19,5364,2.87,,,,52.99,26,0.94,y,54,2.81E-03,210,2.66E-03,0.28,2,2,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,172,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
97,EDSM,2018,7,64,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,delta smelt,12/30/1899 12:37:00,2.6,22.39,507,0.22,,,,34,38.29,0.47,y,44,2.62E-03,14,5.81E-04,0.12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,EDSM,2018,7,65,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,delta smelt,12/30/1899 12:37:00,2.6,22.39,507,0.22,,,,34,38.29,0.35,y,35,1.87E-03,14,7.62E-04,0.21,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
99,EDSM,2018,7,66,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,delta smelt,12/30/1899 12:52:00,10,22,515,0.23,,,,31.99,40.2,0.42,y,42,3.06E-03,6,2.35E-04,0.05,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,EDSM,2018,7,67,7/5/2018 0:00,18-49-LSSC03,Sac DW Ship Channel,delta smelt,12/30/1899 12:52:00,10,22,515,0.23,,,,31.99,40.2,0.49,y,43,3.25E-03,18,1.14E-03,0.23,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
101,EDSM,2018,7,68,7/9/2018 0:00,18-50-LSSC01,Sac DW Ship Channel,delta smelt,12/30/1899 8:55:00,9.6,22.79,690,0.31,,,,31,39.2,0.47,y,44,2.38E-03,9,4.61E-04,0.09,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0
102,EDSM,2018,7,69,7/18/2018 0:00,18-51-LSSC01,Sac DW Ship Channel,delta smelt,12/30/1899 8:16:00,11.18,23.7,683,0.31,,,,23.99,44.29,0.71,y,46,3.37E-03,3,4.75E-05,6.68E-03,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
