DOPLogNumber,Project,Year,Month,SerialNumber,Date,Station,Region,Species,Time,Depth,SurfaceTemperature,SurfaceConductivity,SurfacePPT,BottomTemperature,BottomConductivity,BottomPPT,Secchi,Turbidity,TotalBodyWeight,GutContents,ForkLength,TotalGutContentWeight,TotalNumberofPrey,TotalPreyWeight,Gut Fullness,FullnessRank,DigestionRank,Acanthocyclops spp,Acartiella copepodid,Acartiella sinensis,Barnacle nauplii,Bosmina spp,Calanoid copepodid,Ceriodaphnia spp,Chironomid larvae,Clams,Copepod nauplii,Corophium type,Crab zoea,Cumaceans,Cyclopoid copepodid,Daphnia spp,Diacyclops spp,Diaphanosoma spp,Diaptomus copepodid,Diaptomus spp,Eucyclops spp,Eurytemora copepodid,Eurytemora nauplii,Eurytemora spp,Gammarus type,Harpacticoids,Hyperacanthomysis longirostris,Isopods,Limnoithona copepodid,Limnoithona spp,Nippoleucon hinumensis,Oithona davisae,Osphranticum,Ostracods,Other cladocera,Other cyclopoid,Other malacostraca,Other rotifer,Other zooplankton,Palaemon,Prickly Sculpin,Pseudodiaptomus copepodid,Pseudodiaptomus forbesi,Pseudodiaptomus marinus,Pseudodiaptomus nauplii,Pseudodiaptomus spp,Sinocalanus copepodid,Sinocalanus nauplii,Sinocalanus spp,Terrestrial invertebrates,Tortanus copepodid,Tortanus dextrilobatus,Tortanus spp,Tridentiger spp,Unid amphipod,Unid calanoid,Unid cladocera,Unid copepod,Unid cumacean,Unid cyclopoid,Unid fish,Unid mysids
21,EDSM,2017,9,21,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,0.66,y,48,,17,6.94E-04,0.1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
22,EDSM,2017,9,22,9/18/2017 0:00,18-08-LSR02,Lower Sacramento,delta smelt,12/30/1899 11:08:00,,21.39,435.89,0.19,,,,54,21.2,0.62,y,43,3.73E-03,21,1.00E-03,0.16,2,3,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,EDSM,2017,9,23,9/18/2017 0:00,18-08-LSR02,Lower Sacramento,delta smelt,12/30/1899 11:08:00,,21.39,435.89,0.19,,,,54,21.2,0.54,y,44,,106,2.79E-03,0.51,3,3,0,0,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,26,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
24,EDSM,2017,9,24,9/18/2017 0:00,18-08-LSR01,Lower Sacramento,delta smelt,12/30/1899 10:13:00,,20.89,182.19,0.07,,,,56,19.79,1.29,y,57,,53,3.55E-03,0.27,3,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
25,EDSM,2017,9,25,9/29/2017 0:00,18-09-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:09:00,,18.89,157.39,0.06,,,,107,9.68,1.19,y,55,,28,7.95E-04,0.06,1,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,EDSM,2017,10,26,10/4/2017 0:00,18-10-LSR06,Lower Sacramento,delta smelt,12/30/1899 8:36:00,,18.39,886,0.41,,,,51.99,20.39,1.37,y,61,8.42E-03,9,5.88E-04,0.04,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,EDSM,2017,10,27,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:09:00,,16.7,118.3,0.04,,,,52.99,46.09,0.94,y,55,,9,4.00E-03,0.42,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,EDSM,2017,10,28,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:09:00,,16.7,118.3,0.04,,,,52.99,46.09,0.63,y,47,5.13E-03,15,1.47E-03,0.23,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,EDSM,2017,10,29,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:09:00,,16.7,118.3,0.04,,,,52.99,46.09,0.9,Y,54,6.18E-03,19,1.74E-03,0.19,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,EDSM,2017,10,30,10/10/2017 0:00,18-11-LSR01,Lower Sacramento,delta smelt,12/30/1899 8:09:00,,16.7,118.3,0.04,,,,52.99,46.09,0.73,y,50,3.19E-03,17,5.85E-03,0.79,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
